state_postal_abbr,year,bias_motivation,count
NY,2014,Anti-Bisexual,1
NY,2014,Anti-Black or African American,87
NY,2014,Anti-Catholic,18
NY,2014,Anti-Female Homosexual (Lesbian),8
NY,2014,Anti-Gender Non-Conforming,1
NY,2014,Anti-Hispanic or Latino,13
NY,2014,Anti-Islamic (Muslem),24
NY,2014,Anti-Jewish,235
NY,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",6
NY,2014,Anti-Male Homosexual (Gay),95
NY,2014,Anti-Mental Disability,1
NY,2014,Anti-Multi-Racial Group,3
NY,2014,Anti-Multi-Religious Group,4
NY,2014,Anti-Not Hispanic or Latino,21
NY,2014,Anti-Other Religion,6
NY,2014,Anti-Transgender,3
NY,2014,Anti-White,14
NV,2014,Anti-Asian,1
NV,2014,Anti-Black or African American,6
NV,2014,Anti-Hispanic or Latino,3
NV,2014,Anti-Male Homosexual (Gay),9
NV,2014,Anti-Not Hispanic or Latino,1
NV,2014,Anti-Other Religion,1
NV,2014,Anti-White,3
NM,2014,Anti-Black or African American,6
NM,2014,Anti-Hispanic or Latino,2
NM,2014,Anti-Islamic (Muslem),2
NM,2014,Anti-Jewish,1
NM,2014,Anti-Male Homosexual (Gay),1
NM,2014,Anti-Other Religion,1
NJ,2014,Anti-Asian,11
NJ,2014,Anti-Bisexual,2
NJ,2014,Anti-Black or African American,131
NJ,2014,Anti-Catholic,5
NJ,2014,Anti-Female Homosexual (Lesbian),4
NJ,2014,Anti-Heterosexual,1
NJ,2014,Anti-Hispanic or Latino,15
NJ,2014,Anti-Islamic (Muslem),4
NJ,2014,Anti-Jewish,102
NJ,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",3
NJ,2014,Anti-Male Homosexual (Gay),22
NJ,2014,Anti-Multi-Racial Group,3
NJ,2014,Anti-Not Hispanic or Latino,14
NJ,2014,Anti-Other Religion,3
NJ,2014,Anti-Protestant,1
NJ,2014,Anti-White,15
NH,2014,Anti-Bisexual,1
NH,2014,Anti-Black or African American,7
NH,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",2
NH,2014,Anti-Male Homosexual (Gay),1
NH,2014,Anti-Multi-Racial Group,1
NH,2014,Anti-Other Religion,1
NH,2014,Anti-White,1
NE,2014,Anti-American Indian or Alaska Native,2
NE,2014,Anti-Asian,2
NE,2014,Anti-Black or African American,21
NE,2014,Anti-Female Homosexual (Lesbian),2
NE,2014,Anti-Hispanic or Latino,1
NE,2014,Anti-Jewish,1
NE,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",1
NE,2014,Anti-Male Homosexual (Gay),7
NE,2014,Anti-Multi-Racial Group,1
NE,2014,Anti-Not Hispanic or Latino,5
NE,2014,Anti-White,4
ND,2014,Anti-American Indian or Alaska Native,6
ND,2014,Anti-Black or African American,7
ND,2014,Anti-Female Homosexual (Lesbian),1
ND,2014,Anti-Hispanic or Latino,5
ND,2014,Anti-Islamic (Muslem),1
ND,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",2
ND,2014,Anti-Male Homosexual (Gay),1
ND,2014,Anti-Multi-Religious Group,2
ND,2014,Anti-Not Hispanic or Latino,3
ND,2014,Anti-White,12
NC,2014,Anti-Asian,7
NC,2014,Anti-Atheist/Agnosticism,3
NC,2014,Anti-Bisexual,3
NC,2014,Anti-Black or African American,76
NC,2014,Anti-Female Homosexual (Lesbian),3
NC,2014,Anti-Hispanic or Latino,16
NC,2014,Anti-Islamic (Muslem),5
NC,2014,Anti-Jewish,10
NC,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",4
NC,2014,Anti-Male Homosexual (Gay),19
NC,2014,Anti-Mental Disability,3
NC,2014,Anti-Multi-Racial Group,3
NC,2014,Anti-Multi-Religious Group,2
NC,2014,Anti-Not Hispanic or Latino,2
NC,2014,Anti-Protestant,1
NC,2014,Anti-White,18
MT,2014,Anti-American Indian or Alaska Native,3
MT,2014,Anti-Atheist/Agnosticism,1
MT,2014,Anti-Bisexual,1
MT,2014,Anti-Black or African American,2
MT,2014,Anti-Hispanic or Latino,2
MT,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",1
MT,2014,Anti-Male Homosexual (Gay),1
MT,2014,Anti-Mental Disability,2
MT,2014,Anti-Multi-Religious Group,2
MT,2014,Anti-Not Hispanic or Latino,1
MT,2014,Anti-Transgender,1
MT,2014,Anti-White,13
MS,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",1
MO,2014,Anti-Asian,4
MO,2014,Anti-Black or African American,53
MO,2014,Anti-Catholic,1
MO,2014,Anti-Hispanic or Latino,5
MO,2014,Anti-Islamic (Muslem),4
MO,2014,Anti-Jewish,11
MO,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",5
MO,2014,Anti-Male Homosexual (Gay),29
MO,2014,Anti-Mental Disability,1
MO,2014,Anti-Multi-Racial Group,5
MO,2014,Anti-Multi-Religious Group,5
MO,2014,Anti-Native Hawaiian or Other Pacific Islander,1
MO,2014,Anti-Not Hispanic or Latino,1
MO,2014,Anti-Other Religion,6
MO,2014,Anti-Transgender,6
MO,2014,Anti-White,42
MN,2014,Anti-American Indian or Alaska Native,3
MN,2014,Anti-Asian,3
MN,2014,Anti-Black or African American,42
MN,2014,Anti-Catholic,2
MN,2014,Anti-Female Homosexual (Lesbian),4
MN,2014,Anti-Hispanic or Latino,8
MN,2014,Anti-Islamic (Muslem),9
MN,2014,Anti-Jewish,3
MN,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",1
MN,2014,Anti-Male Homosexual (Gay),12
MN,2014,Anti-Mental Disability,1
MN,2014,Anti-Multi-Religious Group,1
MN,2014,Anti-Not Hispanic or Latino,3
MN,2014,Anti-Other Religion,2
MN,2014,Anti-Physical Disability,1
MN,2014,Anti-White,22
MI,2014,Anti-American Indian or Alaska Native,5
MI,2014,Anti-Arab,1
MI,2014,Anti-Asian,30
MI,2014,Anti-Atheist/Agnosticism,2
MI,2014,Anti-Bisexual,3
MI,2014,Anti-Black or African American,111
MI,2014,Anti-Catholic,1
MI,2014,Anti-Female Homosexual (Lesbian),3
MI,2014,Anti-Hispanic or Latino,9
MI,2014,Anti-Islamic (Muslem),11
MI,2014,Anti-Jewish,12
MI,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",19
MI,2014,Anti-Male,2
MI,2014,Anti-Male Homosexual (Gay),22
MI,2014,Anti-Mental Disability,6
MI,2014,Anti-Multi-Racial Group,3
MI,2014,Anti-Multi-Religious Group,1
MI,2014,Anti-Not Hispanic or Latino,23
MI,2014,Anti-Other Religion,7
MI,2014,Anti-Physical Disability,3
MI,2014,Anti-Protestant,2
MI,2014,Anti-White,56
ME,2014,Anti-Black or African American,10
ME,2014,Anti-Female Homosexual (Lesbian),1
ME,2014,Anti-Islamic (Muslem),4
ME,2014,Anti-Jewish,4
ME,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",2
ME,2014,Anti-Male Homosexual (Gay),5
ME,2014,Anti-Not Hispanic or Latino,1
ME,2014,Anti-White,1
MD,2014,Anti-Asian,1
MD,2014,Anti-Black or African American,7
MD,2014,Anti-Female Homosexual (Lesbian),1
MD,2014,Anti-Hispanic or Latino,4
MD,2014,Anti-Jewish,2
MD,2014,Anti-Male Homosexual (Gay),1
MD,2014,Anti-White,2
MA,2014,Anti-American Indian or Alaska Native,1
MA,2014,Anti-Asian,12
MA,2014,Anti-Black or African American,98
MA,2014,Anti-Catholic,2
MA,2014,Anti-Female,15
MA,2014,Anti-Female Homosexual (Lesbian),19
MA,2014,Anti-Gender Non-Conforming,37
MA,2014,Anti-Hispanic or Latino,15
MA,2014,Anti-Islamic (Muslem),7
MA,2014,Anti-Jewish,40
MA,2014,Anti-Male,3
MA,2014,Anti-Male Homosexual (Gay),61
MA,2014,Anti-Mental Disability,6
MA,2014,Anti-Native Hawaiian or Other Pacific Islander,1
MA,2014,Anti-Not Hispanic or Latino,18
MA,2014,Anti-Other Religion,8
MA,2014,Anti-Physical Disability,4
MA,2014,Anti-Transgender,12
MA,2014,Anti-White,16
LA,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",1
LA,2014,Anti-Male Homosexual (Gay),4
LA,2014,Anti-Multi-Racial Group,2
LA,2014,Anti-Physical Disability,1
LA,2014,Anti-White,1
KY,2014,Anti-American Indian or Alaska Native,3
KY,2014,Anti-Asian,4
KY,2014,Anti-Atheist/Agnosticism,1
KY,2014,Anti-Black or African American,52
KY,2014,Anti-Catholic,1
KY,2014,Anti-Female Homosexual (Lesbian),2
KY,2014,Anti-Hispanic or Latino,10
KY,2014,Anti-Islamic (Muslem),1
KY,2014,Anti-Jewish,5
KY,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",6
KY,2014,Anti-Male Homosexual (Gay),13
KY,2014,Anti-Mental Disability,4
KY,2014,Anti-Multi-Racial Group,7
KY,2014,Anti-Multi-Religious Group,2
KY,2014,Anti-Not Hispanic or Latino,1
KY,2014,Anti-Other Religion,1
KY,2014,Anti-Protestant,2
KY,2014,Anti-Transgender,1
KY,2014,Anti-White,50
KS,2014,Anti-Bisexual,1
KS,2014,Anti-Black or African American,31
KS,2014,Anti-Heterosexual,2
KS,2014,Anti-Hispanic or Latino,9
KS,2014,Anti-Islamic (Muslem),1
KS,2014,Anti-Jewish,3
KS,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",4
KS,2014,Anti-Male Homosexual (Gay),3
KS,2014,Anti-Mental Disability,1
KS,2014,Anti-Multi-Religious Group,1
KS,2014,Anti-Not Hispanic or Latino,2
KS,2014,Anti-Other Religion,1
KS,2014,Anti-Protestant,2
KS,2014,Anti-White,14
IN,2014,Anti-Arab,4
IN,2014,Anti-Black or African American,21
IN,2014,Anti-Female,4
IN,2014,Anti-Female Homosexual (Lesbian),1
IN,2014,Anti-Hispanic or Latino,6
IN,2014,Anti-Islamic (Muslem),8
IN,2014,Anti-Jewish,1
IN,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",4
IN,2014,Anti-Male Homosexual (Gay),2
IN,2014,Anti-Multi-Racial Group,1
IN,2014,Anti-White,5
IL,2014,Anti-Asian,2
IL,2014,Anti-Atheist/Agnosticism,1
IL,2014,Anti-Black or African American,73
IL,2014,Anti-Female Homosexual (Lesbian),7
IL,2014,Anti-Hispanic or Latino,12
IL,2014,Anti-Islamic (Muslem),6
IL,2014,Anti-Jewish,13
IL,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",7
IL,2014,Anti-Male Homosexual (Gay),32
IL,2014,Anti-Multi-Racial Group,3
IL,2014,Anti-Not Hispanic or Latino,10
IL,2014,Anti-White,17
ID,2014,Anti-Black or African American,11
ID,2014,Anti-Female Homosexual (Lesbian),1
ID,2014,Anti-Hispanic or Latino,3
ID,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",2
ID,2014,Anti-Not Hispanic or Latino,4
ID,2014,Anti-Other Religion,3
ID,2014,Anti-White,2
IA,2014,Anti-Asian,1
IA,2014,Anti-Black or African American,5
IA,2014,Anti-Hispanic or Latino,1
IA,2014,Anti-Mental Disability,1
IA,2014,Anti-Multi-Racial Group,2
IA,2014,Anti-Not Hispanic or Latino,1
IA,2014,Anti-White,1
GA,2014,Anti-Asian,4
GA,2014,Anti-Black or African American,14
GA,2014,Anti-Hispanic or Latino,3
GA,2014,Anti-Jewish,4
GA,2014,Anti-Male Homosexual (Gay),21
GA,2014,Anti-Mental Disability,2
GA,2014,Anti-Multi-Racial Group,1
GA,2014,Anti-Physical Disability,1
GA,2014,Anti-White,4
FL,2014,Anti-Asian,1
FL,2014,Anti-Bisexual,1
FL,2014,Anti-Black or African American,19
FL,2014,Anti-Catholic,2
FL,2014,Anti-Islamic (Muslem),3
FL,2014,Anti-Jewish,7
FL,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",11
FL,2014,Anti-Mental Disability,1
FL,2014,Anti-Multi-Racial Group,1
FL,2014,Anti-Not Hispanic or Latino,6
FL,2014,Anti-White,13
DE,2014,Anti-Black or African American,7
DE,2014,Anti-Female Homosexual (Lesbian),1
DE,2014,Anti-Jewish,2
DE,2014,Anti-Male Homosexual (Gay),3
DE,2014,Anti-Not Hispanic or Latino,1
DE,2014,Anti-Other Religion,2
DE,2014,Anti-White,1
DC,2014,Anti-Arab,1
DC,2014,Anti-Black or African American,8
DC,2014,Anti-Catholic,1
DC,2014,Anti-Female Homosexual (Lesbian),3
DC,2014,Anti-Islamic (Muslem),2
DC,2014,Anti-Jewish,3
DC,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",4
DC,2014,Anti-Male Homosexual (Gay),22
DC,2014,Anti-Mental Disability,1
DC,2014,Anti-Multi-Racial Group,1
DC,2014,Anti-Multi-Religious Group,1
DC,2014,Anti-Not Hispanic or Latino,3
DC,2014,Anti-Other Religion,1
DC,2014,Anti-Physical Disability,1
DC,2014,Anti-Transgender,15
DC,2014,Anti-White,4
CT,2014,Anti-American Indian or Alaska Native,1
CT,2014,Anti-Asian,5
CT,2014,Anti-Bisexual,3
CT,2014,Anti-Black or African American,35
CT,2014,Anti-Catholic,4
CT,2014,Anti-Female Homosexual (Lesbian),2
CT,2014,Anti-Heterosexual,6
CT,2014,Anti-Hispanic or Latino,5
CT,2014,Anti-Islamic (Muslem),2
CT,2014,Anti-Jewish,18
CT,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",4
CT,2014,Anti-Male Homosexual (Gay),9
CT,2014,Anti-Mental Disability,1
CT,2014,Anti-Multi-Racial Group,2
CT,2014,Anti-Multi-Religious Group,1
CT,2014,Anti-Not Hispanic or Latino,6
CT,2014,Anti-Other Religion,8
CT,2014,Anti-White,14
CO,2014,Anti-Black or African American,34
CO,2014,Anti-Female Homosexual (Lesbian),4
CO,2014,Anti-Hispanic or Latino,10
CO,2014,Anti-Islamic (Muslem),4
CO,2014,Anti-Jewish,4
CO,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",13
CO,2014,Anti-Male Homosexual (Gay),14
CO,2014,Anti-Mental Disability,1
CO,2014,Anti-Multi-Racial Group,2
CO,2014,Anti-Multi-Religious Group,1
CO,2014,Anti-Not Hispanic or Latino,7
CO,2014,Anti-Other Religion,4
CO,2014,Anti-Physical Disability,4
CO,2014,Anti-White,7
CA,2014,Anti-American Indian or Alaska Native,3
CA,2014,Anti-Asian,19
CA,2014,Anti-Bisexual,2
CA,2014,Anti-Black or African American,243
CA,2014,Anti-Catholic,5
CA,2014,Anti-Female,2
CA,2014,Anti-Female Homosexual (Lesbian),28
CA,2014,Anti-Heterosexual,1
CA,2014,Anti-Hispanic or Latino,60
CA,2014,Anti-Islamic (Muslem),18
CA,2014,Anti-Jewish,80
CA,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",80
CA,2014,Anti-Male Homosexual (Gay),78
CA,2014,Anti-Mental Disability,2
CA,2014,Anti-Multi-Racial Group,15
CA,2014,Anti-Multi-Religious Group,3
CA,2014,Anti-Not Hispanic or Latino,51
CA,2014,Anti-Other Religion,20
CA,2014,Anti-Physical Disability,2
CA,2014,Anti-Protestant,2
CA,2014,Anti-Transgender,22
CA,2014,Anti-White,28
AZ,2014,Anti-American Indian or Alaska Native,5
AZ,2014,Anti-Asian,6
AZ,2014,Anti-Bisexual,2
AZ,2014,Anti-Black or African American,93
AZ,2014,Anti-Catholic,2
AZ,2014,Anti-Female Homosexual (Lesbian),8
AZ,2014,Anti-Hispanic or Latino,26
AZ,2014,Anti-Islamic (Muslem),4
AZ,2014,Anti-Jewish,19
AZ,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",4
AZ,2014,Anti-Male Homosexual (Gay),41
AZ,2014,Anti-Mental Disability,3
AZ,2014,Anti-Multi-Racial Group,5
AZ,2014,Anti-Multi-Religious Group,5
AZ,2014,Anti-Not Hispanic or Latino,19
AZ,2014,Anti-Other Religion,6
AZ,2014,Anti-Physical Disability,1
AZ,2014,Anti-Protestant,2
AZ,2014,Anti-White,15
AR,2014,Anti-Black or African American,4
AR,2014,Anti-Islamic (Muslem),1
AR,2014,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",1
AR,2014,Anti-Not Hispanic or Latino,1
AR,2014,Anti-White,1
AL,2014,Anti-American Indian or Alaska Native,1
AL,2014,Anti-Asian,2
AL,2014,Anti-Black or African American,5
AL,2014,Anti-Hispanic or Latino,2
AL,2014,Anti-Jewish,2
AL,2014,Anti-White,3
AK,2014,Anti-American Indian or Alaska Native,3
AK,2014,Anti-Black or African American,2
AK,2014,Anti-Male Homosexual (Gay),1
WY,2013,Anti-Hispanic or Latino,1
WV,2013,Anti-Black or African American,12
WV,2013,Anti-Catholic,2
WV,2013,Anti-Female Homosexual (Lesbian),1
WV,2013,Anti-Heterosexual,4
WV,2013,Anti-Hispanic or Latino,3
WV,2013,Anti-Islamic (Muslem),1
WV,2013,Anti-Jewish,3
WV,2013,Anti-Male Homosexual (Gay),5
WV,2013,Anti-Multi-Racial Group,1
WV,2013,Anti-Protestant,1
WV,2013,Anti-White,31
WI,2013,Anti-Asian,3
WI,2013,Anti-Black or African American,15
WI,2013,Anti-Female Homosexual (Lesbian),1
WI,2013,Anti-Hispanic or Latino,4
WI,2013,Anti-Jewish,3
WI,2013,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",1
WI,2013,Anti-Male Homosexual (Gay),17
WI,2013,Anti-Not Hispanic or Latino,4
WI,2013,Anti-Other Religion,2
WI,2013,Anti-White,7
WA,2013,Anti-American Indian or Alaska Native,31
WA,2013,Anti-Asian,11
WA,2013,Anti-Bisexual,3
WA,2013,Anti-Black or African American,70
WA,2013,Anti-Catholic,4
WA,2013,Anti-Female,2
WA,2013,Anti-Female Homosexual (Lesbian),9
WA,2013,Anti-Gender Non-Conforming,2
WA,2013,Anti-Heterosexual,1
WA,2013,Anti-Hispanic or Latino,19
WA,2013,Anti-Islamic (Muslem),7
WA,2013,Anti-Jewish,17
WA,2013,"Anti-Lesbian, Gay, Bisexual, or Transgender, Mixed Group (LGBT)",19
WA,2013,Anti-Male,2
WA,2013,Anti-Male Homosexual (Gay),18
WA,2013,Anti-Mental Disability,5
WA,2013,Anti-Multi-Racial Group,7
WA,2013,Anti-Multi-Religious Group,2
WA,2013,Anti-Not Hispanic or Latino,16
WA,2013,Anti-Other Religion,10
WA,2013,Anti-Physical Disability,2
WA,2013,Anti-Protestant,1
WA,2013,Anti-White,46
VT,2013,Anti-Black or African American,5
VT,2013,Anti-Female Homosexual (Lesbian),2
